Province.Territory.and.Immigration.Category,Province,Year,Number of PR Admissions
Self-Employed,Yukon ,2016,0
Business,Yukon ,2016,0
Provincial Nominee Program,Yukon ,2016,90
Provincial Nominee Program,Yukon ,2016,90
Economic - Total,Yukon ,2016,120
Sponsored Children,Yukon ,2016,5
Sponsored Extended Family Member,Yukon ,2016,0
Sponsored Parent or Grandparent,Yukon ,2016,5
Sponsored Spouse or Partner,Yukon ,2016,65
Sponsored Family,Yukon ,2016,75
Sponsored Family - Total,Yukon ,2016,75
Blended Sponsorship Refugee,Yukon ,2016,10
Privately Sponsored Refugee,Yukon ,2016,5
Resettled Refugee,Yukon ,2016,15
Protected Person in Canada,Yukon ,2016,0
Resettled Refugee & Protected Person in Canada - Total,Yukon ,2016,15
All Other Immigration - Total,Yukon ,2016,--
Yukon - Total,Yukon ,2016,210
Canadian Experience,Northwest Territories ,2016,15
Caregiver,Northwest Territories ,2016,25
Skilled Trade,Northwest Territories ,2016,--
Skilled Worker,Northwest Territories ,2016,10
Worker Program,Northwest Territories ,2016,55
Provincial Nominee Program,Northwest Territories ,2016,65
Provincial Nominee Program,Northwest Territories ,2016,65
Economic - Total,Northwest Territories ,2016,120
Sponsored Children,Northwest Territories ,2016,0
Sponsored Parent or Grandparent,Northwest Territories ,2016,10
Sponsored Spouse or Partner,Northwest Territories ,2016,45
Sponsored Family,Northwest Territories ,2016,55
Sponsored Family - Total,Northwest Territories ,2016,55
Blended Sponsorship Refugee,Northwest Territories ,2016,5
Privately Sponsored Refugee,Northwest Territories ,2016,--
Resettled Refugee,Northwest Territories ,2016,10
Protected Person in Canada,Northwest Territories ,2016,--
Resettled Refugee & Protected Person in Canada - Total,Northwest Territories ,2016,10
All Other Immigration - Total,Northwest Territories ,2016,--
Northwest Territories - Total,Northwest Territories ,2016,185
Canadian Experience,Nunavut ,2016,--
Caregiver,Nunavut ,2016,10
Skilled Worker,Nunavut ,2016,5
Worker Program,Nunavut ,2016,20
Economic - Total,Nunavut ,2016,20
Sponsored Children,Nunavut ,2016,0
Sponsored Parent or Grandparent,Nunavut ,2016,--
Sponsored Spouse or Partner,Nunavut ,2016,15
Sponsored Family,Nunavut ,2016,15
Sponsored Family - Total,Nunavut ,2016,15
Protected Person in Canada,Nunavut ,2016,--
Resettled Refugee & Protected Person in Canada - Total,Nunavut ,2016,--
Nunavut - Total,Nunavut ,2016,35
Province/Territory not stated - Total,Unstated ,2016,55
Total,All province total ,2016,"296,365"
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,2017,0
Canadian Experience,Newfoundland and Labrador,2017,135
Caregiver,Newfoundland and Labrador,2017,35
Skilled Trade,Newfoundland and Labrador,2017,15
Skilled Worker,Newfoundland and Labrador,2017,75
Worker Program,Newfoundland and Labrador,2017,260
Self-Employed,Newfoundland and Labrador,2017,0
Start-up Business,Newfoundland and Labrador,2017,0
Business,Newfoundland and Labrador,2017,0
Provincial Nominee Program,Newfoundland and Labrador,2017,435
Provincial Nominee Program,Newfoundland and Labrador,2017,435
Economic - Total,Newfoundland and Labrador,2017,690
Sponsored Children,Newfoundland and Labrador,2017,--
Sponsored Extended Family Member,Newfoundland and Labrador,2017,0
Sponsored Parent or Grandparent,Newfoundland and Labrador,2017,20
Sponsored Spouse or Partner,Newfoundland and Labrador,2017,175
Sponsored Family,Newfoundland and Labrador,2017,200
Sponsored Family - Total,Newfoundland and Labrador,2017,200
Blended Sponsorship Refugee,Newfoundland and Labrador,2017,50
Government-Assisted Refugee,Newfoundland and Labrador,2017,165
Privately Sponsored Refugee,Newfoundland and Labrador,2017,50
Resettled Refugee,Newfoundland and Labrador,2017,265
Protected Person in Canada,Newfoundland and Labrador,2017,10
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,2017,280
All Other Immigration - Total,Newfoundland and Labrador,2017,--
Newfoundland and Labrador - Total,Newfoundland and Labrador,2017,"1,170"
Atlantic Immigration Pilot Programs,Prince Edward Island,2017,20
Canadian Experience,Prince Edward Island,2017,65
Caregiver,Prince Edward Island,2017,0
Skilled Trade,Prince Edward Island,2017,--
Skilled Worker,Prince Edward Island,2017,15
Worker Program,Prince Edward Island,2017,105
Self-Employed,Prince Edward Island,2017,5
Start-up Business,Prince Edward Island,2017,10
Business,Prince Edward Island,2017,15
Provincial Nominee Program,Prince Edward Island,2017,"2,050"
Provincial Nominee Program,Prince Edward Island,2017,"2,050"
Economic - Total,Prince Edward Island,2017,"2,170"
Sponsored Children,Prince Edward Island,2017,5
Sponsored Parent or Grandparent,Prince Edward Island,2017,10
Sponsored Spouse or Partner,Prince Edward Island,2017,70
Sponsored Family,Prince Edward Island,2017,85
Sponsored Family - Total,Prince Edward Island,2017,85
Blended Sponsorship Refugee,Prince Edward Island,2017,15
Government-Assisted Refugee,Prince Edward Island,2017,30
Privately Sponsored Refugee,Prince Edward Island,2017,40
Resettled Refugee,Prince Edward Island,2017,85
Protected Person in Canada,Prince Edward Island,2017,--
Resettled Refugee & Protected Person in Canada - Total,Prince Edward Island,2017,90
All Other Immigration - Total,Prince Edward Island,2017,--
Prince Edward Island - Total,Prince Edward Island,2017,"2,350"
Atlantic Immigration Pilot Programs,Nova Scotia ,2017,15
Canadian Experience,Nova Scotia ,2017,235
Caregiver,Nova Scotia ,2017,75
Skilled Trade,Nova Scotia ,2017,15
Skilled Worker,Nova Scotia ,2017,235
Worker Program,Nova Scotia ,2017,575
Self-Employed,Nova Scotia ,2017,5
Start-up Business,Nova Scotia ,2017,--
Business,Nova Scotia ,2017,5
Provincial Nominee Program,Nova Scotia ,2017,"2,735"
Provincial Nominee Program,Nova Scotia ,2017,"2,735"
Economic - Total,Nova Scotia ,2017,"3,315"
Sponsored Children,Nova Scotia ,2017,35
Sponsored Extended Family Member,Nova Scotia ,2017,0
Sponsored Parent or Grandparent,Nova Scotia ,2017,105
Sponsored Spouse or Partner,Nova Scotia ,2017,565
Sponsored Family,Nova Scotia ,2017,710
Sponsored Family - Total,Nova Scotia ,2017,710
Blended Sponsorship Refugee,Nova Scotia ,2017,45
Government-Assisted Refugee,Nova Scotia ,2017,210
Privately Sponsored Refugee,Nova Scotia ,2017,185
Resettled Refugee,Nova Scotia ,2017,445
Protected Person in Canada,Nova Scotia ,2017,35
Resettled Refugee & Protected Person in Canada - Total,Nova Scotia ,2017,480
All Other Immigration - Total,Nova Scotia ,2017,10
Nova Scotia - Total,Nova Scotia ,2017,"4,515"
Atlantic Immigration Pilot Programs,New Brunswick ,2017,45
Canadian Experience,New Brunswick ,2017,125
Caregiver,New Brunswick ,2017,25
Skilled Trade,New Brunswick ,2017,--
Skilled Worker,New Brunswick ,2017,65
Worker Program,New Brunswick ,2017,270
Self-Employed,New Brunswick ,2017,--
Start-up Business,New Brunswick ,2017,5
Business,New Brunswick ,2017,5
Provincial Nominee Program,New Brunswick ,2017,"2,585"
Provincial Nominee Program,New Brunswick ,2017,"2,585"
Economic - Total,New Brunswick ,2017,"2,860"
Sponsored Children,New Brunswick ,2017,15
Sponsored Extended Family Member,New Brunswick ,2017,--
Sponsored Parent or Grandparent,New Brunswick ,2017,50
Sponsored Spouse or Partner,New Brunswick ,2017,275
Sponsored Family,New Brunswick ,2017,340
Sponsored Family - Total,New Brunswick ,2017,340
Blended Sponsorship Refugee,New Brunswick ,2017,35
Government-Assisted Refugee,New Brunswick ,2017,355
Privately Sponsored Refugee,New Brunswick ,2017,45
Resettled Refugee,New Brunswick ,2017,435
Protected Person in Canada,New Brunswick ,2017,5
Resettled Refugee & Protected Person in Canada - Total,New Brunswick ,2017,440
All Other Immigration - Total,New Brunswick ,2017,5
New Brunswick - Total,New Brunswick ,2017,"3,650"
Canadian Experience,Québec ,2017,0
Caregiver,Québec ,2017,810
Skilled Worker,Québec ,2017,"24,865"
Worker Program,Québec ,2017,"25,675"
Entreprenuer ,Québec ,2017,220
Investor,Québec ,2017,"4,330"
Self-Employed,Québec ,2017,35
Business,Québec ,2017,"4,590"
Provincial Nominee Program,Québec ,2017,0
Provincial Nominee Program,Québec ,2017,0
Economic - Total,Québec ,2017,"30,265"
Sponsored Children,Québec ,2017,780
Sponsored Extended Family Member,Québec ,2017,70
Sponsored Parent or Grandparent,Québec ,2017,"1,970"
Sponsored Spouse or Partner,Québec ,2017,"9,310"
Sponsored Family,Québec ,2017,"12,135"
Sponsored Family - Total,Québec ,2017,"12,135"
Blended Sponsorship Refugee,Québec ,2017,0
Government-Assisted Refugee,Québec ,2017,"1,525"
Privately Sponsored Refugee,Québec ,2017,"4,810"
Resettled Refugee,Québec ,2017,"6,335"
Protected Person in Canada,Québec ,2017,"2,820"
Resettled Refugee & Protected Person in Canada - Total,Québec ,2017,"9,155"
All Other Immigration - Total,Québec ,2017,845
Québec - Total,Québec ,2017,"52,395"
Canadian Experience,Ontario ,2017,"19,500"
Caregiver,Ontario ,2017,"11,135"
Skilled Trade,Ontario ,2017,305
Skilled Worker,Ontario ,2017,"15,095"
Worker Program,Ontario ,2017,"46,035"
Entreprenuer ,Ontario ,2017,--
Investor,Ontario ,2017,20
Self-Employed,Ontario ,2017,235
Start-up Business,Ontario ,2017,55
Business,Ontario ,2017,310
Provincial Nominee Program,Ontario ,2017,"6,985"
Provincial Nominee Program,Ontario ,2017,"6,985"
Economic - Total,Ontario ,2017,"53,325"
Sponsored Children,Ontario ,2017,"1,470"
Sponsored Extended Family Member,Ontario ,2017,120
Sponsored Parent or Grandparent,Ontario ,2017,"10,530"
Sponsored Spouse or Partner,Ontario ,2017,"24,630"
Sponsored Family,Ontario ,2017,"36,745"
Sponsored Family - Total,Ontario ,2017,"36,745"
Blended Sponsorship Refugee,Ontario ,2017,740
Government-Assisted Refugee,Ontario ,2017,"3,375"
Privately Sponsored Refugee,Ontario ,2017,"6,565"
Resettled Refugee,Ontario ,2017,"10,680"
Protected Person in Canada,Ontario ,2017,"9,510"
Resettled Refugee & Protected Person in Canada - Total,Ontario ,2017,"20,190"
All Other Immigration - Total,Ontario ,2017,"1,685"
Ontario - Total,Ontario ,2017,"111,945"
Canadian Experience,Manitoba,2017,235
Caregiver,Manitoba,2017,75
Skilled Trade,Manitoba,2017,20
Skilled Worker,Manitoba,2017,295
Worker Program,Manitoba,2017,625
Entreprenuer ,Manitoba,2017,0
Self-Employed,Manitoba,2017,--
Business,Manitoba,2017,--
Provincial Nominee Program,Manitoba,2017,"9,430"
Provincial Nominee Program,Manitoba,2017,"9,430"
Economic - Total,Manitoba,2017,"10,060"
Sponsored Children,Manitoba,2017,115
Sponsored Extended Family Member,Manitoba,2017,10
Sponsored Parent or Grandparent,Manitoba,2017,450
Sponsored Spouse or Partner,Manitoba,2017,"1,900"
Sponsored Family,Manitoba,2017,"2,475"
Sponsored Family - Total,Manitoba,2017,"2,475"
Blended Sponsorship Refugee,Manitoba,2017,90
Government-Assisted Refugee,Manitoba,2017,605
Privately Sponsored Refugee,Manitoba,2017,"1,365"
Resettled Refugee,Manitoba,2017,"2,055"
Protected Person in Canada,Manitoba,2017,80
Resettled Refugee & Protected Person in Canada - Total,Manitoba,2017,"2,135"
All Other Immigration - Total,Manitoba,2017,35
Manitoba - Total,Manitoba,2017,"14,705"
Canadian Experience,Saskatchewan,2017,435
Caregiver,Saskatchewan,2017,335
Skilled Trade,Saskatchewan,2017,40
Skilled Worker,Saskatchewan,2017,305
Worker Program,Saskatchewan,2017,"1,115"
Self-Employed,Saskatchewan,2017,--
Business,Saskatchewan,2017,--
Provincial Nominee Program,Saskatchewan,2017,"10,530"
Provincial Nominee Program,Saskatchewan,2017,"10,530"
Economic - Total,Saskatchewan,2017,"11,645"
Sponsored Children,Saskatchewan,2017,70
Sponsored Extended Family Member,Saskatchewan,2017,--
Sponsored Parent or Grandparent,Saskatchewan,2017,360
Sponsored Spouse or Partner,Saskatchewan,2017,"1,570"
Sponsored Family,Saskatchewan,2017,"2,000"
Sponsored Family - Total,Saskatchewan,2017,"2,000"
Blended Sponsorship Refugee,Saskatchewan,2017,40
Government-Assisted Refugee,Saskatchewan,2017,505
Privately Sponsored Refugee,Saskatchewan,2017,395
Resettled Refugee,Saskatchewan,2017,935
Protected Person in Canada,Saskatchewan,2017,80
Resettled Refugee & Protected Person in Canada - Total,Saskatchewan,2017,"1,015"
All Other Immigration - Total,Saskatchewan,2017,15
Saskatchewan - Total,Saskatchewan,2017,"14,675"
Canadian Experience,Alberta ,2017,"6,125"
Caregiver,Alberta ,2017,"5,245"
Skilled Trade,Alberta ,2017,795
Skilled Worker,Alberta ,2017,"2,985"
Worker Program,Alberta ,2017,"15,150"
Entreprenuer ,Alberta ,2017,0
Investor,Alberta ,2017,0
Self-Employed,Alberta ,2017,15
Start-up Business,Alberta ,2017,0
Business,Alberta ,2017,15
Provincial Nominee Program,Alberta ,2017,"7,195"
Provincial Nominee Program,Alberta ,2017,"7,195"
Economic - Total,Alberta ,2017,"22,360"
Sponsored Children,Alberta ,2017,615
Sponsored Extended Family Member,Alberta ,2017,100
Sponsored Parent or Grandparent,Alberta ,2017,"3,510"
Sponsored Spouse or Partner,Alberta ,2017,"10,025"
Sponsored Family,Alberta ,2017,"14,250"
Sponsored Family - Total,Alberta ,2017,"14,250"
Blended Sponsorship Refugee,Alberta ,2017,105
Government-Assisted Refugee,Alberta ,2017,"1,295"
Privately Sponsored Refugee,Alberta ,2017,"2,315"
Resettled Refugee,Alberta ,2017,"3,715"
Protected Person in Canada,Alberta ,2017,"1,230"
Resettled Refugee & Protected Person in Canada - Total,Alberta ,2017,"4,945"
All Other Immigration - Total,Alberta ,2017,535
Alberta - Total,Alberta ,2017,"42,090"
Canadian Experience,British Columbia ,2017,"5,860"
Caregiver,British Columbia ,2017,"4,460"
Skilled Trade,British Columbia ,2017,670
Skilled Worker,British Columbia ,2017,"3,465"
Worker Program,British Columbia ,2017,"14,455"
Entreprenuer ,British Columbia ,2017,0
Investor,British Columbia ,2017,25
Self-Employed,British Columbia ,2017,140
Start-up Business,British Columbia ,2017,65
Business,British Columbia ,2017,230
Provincial Nominee Program,British Columbia ,2017,"7,570"
Provincial Nominee Program,British Columbia ,2017,"7,570"
Economic - Total,British Columbia ,2017,"22,250"
Sponsored Children,British Columbia ,2017,400
Sponsored Extended Family Member,British Columbia ,2017,25
Sponsored Parent or Grandparent,British Columbia ,2017,"3,470"
Sponsored Spouse or Partner,British Columbia ,2017,"9,465"
Sponsored Family,British Columbia ,2017,"13,360"
Sponsored Family - Total,British Columbia ,2017,"13,360"
Blended Sponsorship Refugee,British Columbia ,2017,175
Government-Assisted Refugee,British Columbia ,2017,740
Privately Sponsored Refugee,British Columbia ,2017,"1,070"
Resettled Refugee,British Columbia ,2017,"1,985"
Protected Person in Canada,British Columbia ,2017,710
Resettled Refugee & Protected Person in Canada - Total,British Columbia ,2017,"2,695"
All Other Immigration - Total,British Columbia ,2017,130
British Columbia - Total,British Columbia ,2017,"38,440"
Canadian Experience,Yukon ,2017,10
Caregiver,Yukon ,2017,--
Skilled Trade,Yukon ,2017,0
Skilled Worker,Yukon ,2017,10
Worker Program,Yukon ,2017,20
Self-Employed,Yukon ,2017,0
Business,Yukon ,2017,0
Provincial Nominee Program,Yukon ,2017,120
Provincial Nominee Program,Yukon ,2017,120
Economic - Total,Yukon ,2017,145
Sponsored Children,Yukon ,2017,--
Sponsored Extended Family Member,Yukon ,2017,0
Sponsored Parent or Grandparent,Yukon ,2017,5
Sponsored Spouse or Partner,Yukon ,2017,65
Sponsored Family,Yukon ,2017,70
Sponsored Family - Total,Yukon ,2017,70
Blended Sponsorship Refugee,Yukon ,2017,0
Privately Sponsored Refugee,Yukon ,2017,5
Resettled Refugee,Yukon ,2017,5
Protected Person in Canada,Yukon ,2017,--
Resettled Refugee & Protected Person in Canada - Total,Yukon ,2017,10
All Other Immigration - Total,Yukon ,2017,0
Yukon - Total,Yukon ,2017,225
Canadian Experience,Northwest Territories ,2017,15
Caregiver,Northwest Territories ,2017,45
Skilled Trade,Northwest Territories ,2017,--
Skilled Worker,Northwest Territories ,2017,--
Worker Program,Northwest Territories ,2017,70
Provincial Nominee Program,Northwest Territories ,2017,105
Provincial Nominee Program,Northwest Territories ,2017,105
Economic - Total,Northwest Territories ,2017,175
Sponsored Children,Northwest Territories ,2017,0
Sponsored Parent or Grandparent,Northwest Territories ,2017,10
Sponsored Spouse or Partner,Northwest Territories ,2017,50
Sponsored Family,Northwest Territories ,2017,55
Sponsored Family - Total,Northwest Territories ,2017,55
Blended Sponsorship Refugee,Northwest Territories ,2017,0
Privately Sponsored Refugee,Northwest Territories ,2017,0
Resettled Refugee,Northwest Territories ,2017,0
Protected Person in Canada,Northwest Territories ,2017,--
Resettled Refugee & Protected Person in Canada - Total,Northwest Territories ,2017,--
All Other Immigration - Total,Northwest Territories ,2017,--
Northwest Territories - Total,Northwest Territories ,2017,240
Canadian Experience,Nunavut ,2017,5
Caregiver,Nunavut ,2017,--
Skilled Worker,Nunavut ,2017,--
Worker Program,Nunavut ,2017,10
Economic - Total,Nunavut ,2017,10
Sponsored Children,Nunavut ,2017,--
Sponsored Parent or Grandparent,Nunavut ,2017,0
Sponsored Spouse or Partner,Nunavut ,2017,25
Sponsored Family,Nunavut ,2017,30
Sponsored Family - Total,Nunavut ,2017,30
Protected Person in Canada,Nunavut ,2017,--
Resettled Refugee & Protected Person in Canada - Total,Nunavut ,2017,--
Nunavut - Total,Nunavut ,2017,40
Province/Territory not stated - Total,Unstated ,2017,40
Total,All province total ,2017,"286,480"
Atlantic Immigration Pilot Programs,Newfoundland and Labrador,2018,140
Canadian Experience,Newfoundland and Labrador,2018,105
Caregiver,Newfoundland and Labrador,2018,45
Skilled Trade,Newfoundland and Labrador,2018,0
Skilled Worker,Newfoundland and Labrador,2018,70
Worker Program,Newfoundland and Labrador,2018,365
Self-Employed,Newfoundland and Labrador,2018,0
Start-up Business,Newfoundland and Labrador,2018,--
Business,Newfoundland and Labrador,2018,--
Provincial Nominee Program,Newfoundland and Labrador,2018,530
Provincial Nominee Program,Newfoundland and Labrador,2018,530
Economic - Total,Newfoundland and Labrador,2018,895
Sponsored Children,Newfoundland and Labrador,2018,--
Sponsored Extended Family Member,Newfoundland and Labrador,2018,--
Sponsored Parent or Grandparent,Newfoundland and Labrador,2018,15
Sponsored Spouse or Partner,Newfoundland and Labrador,2018,135
Sponsored Family,Newfoundland and Labrador,2018,155
Sponsored Family - Total,Newfoundland and Labrador,2018,155
Blended Sponsorship Refugee,Newfoundland and Labrador,2018,--
Government-Assisted Refugee,Newfoundland and Labrador,2018,175
Privately Sponsored Refugee,Newfoundland and Labrador,2018,60
Resettled Refugee,Newfoundland and Labrador,2018,240
Protected Person in Canada,Newfoundland and Labrador,2018,15
Resettled Refugee & Protected Person in Canada - Total,Newfoundland and Labrador,2018,255
All Other Immigration - Total,Newfoundland and Labrador,2018,0
Newfoundland and Labrador - Total,Newfoundland and Labrador,2018,"1,305"
Atlantic Immigration Pilot Programs,Prince Edward Island,2018,165
Canadian Experience,Prince Edward Island,2018,55
Caregiver,Prince Edward Island,2018,--
Skilled Trade,Prince Edward Island,2018,5
Skilled Worker,Prince Edward Island,2018,15
Worker Program,Prince Edward Island,2018,245
Self-Employed,Prince Edward Island,2018,0
Start-up Business,Prince Edward Island,2018,15
Business,Prince Edward Island,2018,15
Provincial Nominee Program,Prince Edward Island,2018,"1,450"
Provincial Nominee Program,Prince Edward Island,2018,"1,450"
Economic - Total,Prince Edward Island,2018,"1,710"
Sponsored Children,Prince Edward Island,2018,5
Sponsored Parent or Grandparent,Prince Edward Island,2018,5
Sponsored Spouse or Partner,Prince Edward Island,2018,80
Sponsored Family,Prince Edward Island,2018,90
Sponsored Family - Total,Prince Edward Island,2018,90
Blended Sponsorship Refugee,Prince Edward Island,2018,0
Government-Assisted Refugee,Prince Edward Island,2018,45
Privately Sponsored Refugee,Prince Edward Island,2018,20
Resettled Refugee,Prince Edward Island,2018,65
Protected Person in Canada,Prince Edward Island,2018,--
Resettled Refugee & Protected Person in Canada - Total,Prince Edward Island,2018,70
All Other Immigration - Total,Prince Edward Island,2018,0
Prince Edward Island - Total,Prince Edward Island,2018,"1,870"
Atlantic Immigration Pilot Programs,Nova Scotia ,2018,320
Canadian Experience,Nova Scotia ,2018,330
Caregiver,Nova Scotia ,2018,65
Skilled Trade,Nova Scotia ,2018,5
Skilled Worker,Nova Scotia ,2018,265
Worker Program,Nova Scotia ,2018,980
Self-Employed,Nova Scotia ,2018,--
Start-up Business,Nova Scotia ,2018,--
Business,Nova Scotia ,2018,5
Provincial Nominee Program,Nova Scotia ,2018,"3,160"
Provincial Nominee Program,Nova Scotia ,2018,"3,160"
Economic - Total,Nova Scotia ,2018,"4,150"
Sponsored Children,Nova Scotia ,2018,25
Sponsored Extended Family Member,Nova Scotia ,2018,--
Sponsored Parent or Grandparent,Nova Scotia ,2018,65
Sponsored Spouse or Partner,Nova Scotia ,2018,495
Sponsored Family,Nova Scotia ,2018,590
Sponsored Family - Total,Nova Scotia ,2018,590
Blended Sponsorship Refugee,Nova Scotia ,2018,60
Government-Assisted Refugee,Nova Scotia ,2018,170
Privately Sponsored Refugee,Nova Scotia ,2018,195
Resettled Refugee,Nova Scotia ,2018,425
Protected Person in Canada,Nova Scotia ,2018,45
Resettled Refugee & Protected Person in Canada - Total,Nova Scotia ,2018,470
All Other Immigration - Total,Nova Scotia ,2018,15
Nova Scotia - Total,Nova Scotia ,2018,"5,225"
Atlantic Immigration Pilot Programs,New Brunswick ,2018,565
Canadian Experience,New Brunswick ,2018,180
Caregiver,New Brunswick ,2018,15
Skilled Trade,New Brunswick ,2018,5
Skilled Worker,New Brunswick ,2018,140
Worker Program,New Brunswick ,2018,905
Self-Employed,New Brunswick ,2018,0
Start-up Business,New Brunswick ,2018,10
Business,New Brunswick ,2018,10
Provincial Nominee Program,New Brunswick ,2018,"2,440"
Provincial Nominee Program,New Brunswick ,2018,"2,440"
Economic - Total,New Brunswick ,2018,"3,360"
Sponsored Children,New Brunswick ,2018,10
Sponsored Extended Family Member,New Brunswick ,2018,--
Sponsored Parent or Grandparent,New Brunswick ,2018,25
Sponsored Spouse or Partner,New Brunswick ,2018,285
Sponsored Family,New Brunswick ,2018,325
Sponsored Family - Total,New Brunswick ,2018,325
Blended Sponsorship Refugee,New Brunswick ,2018,--
Government-Assisted Refugee,New Brunswick ,2018,240
Privately Sponsored Refugee,New Brunswick ,2018,45
Resettled Refugee,New Brunswick ,2018,285
Protected Person in Canada,New Brunswick ,2018,10
Resettled Refugee & Protected Person in Canada - Total,New Brunswick ,2018,295
All Other Immigration - Total,New Brunswick ,2018,10
New Brunswick - Total,New Brunswick ,2018,"3,995"
Canadian Experience,Québec ,2018,0
Caregiver,Québec ,2018,775
Skilled Worker,Québec ,2018,"22,160"
Worker Program,Québec ,2018,"22,935"
Entreprenuer ,Québec ,2018,125
Investor,Québec ,2018,"3,440"
Self-Employed,Québec ,2018,35
Business,Québec ,2018,"3,595"
Provincial Nominee Program,Québec ,2018,0
Provincial Nominee Program,Québec ,2018,0
Economic - Total,Québec ,2018,"26,535"
Sponsored Children,Québec ,2018,635
Sponsored Extended Family Member,Québec ,2018,80
Sponsored Parent or Grandparent,Québec ,2018,"1,415"
Sponsored Spouse or Partner,Québec ,2018,"7,605"
Sponsored Family,Québec ,2018,"9,740"
Sponsored Family - Total,Québec ,2018,"9,740"
Blended Sponsorship Refugee,Québec ,2018,0
Government-Assisted Refugee,Québec ,2018,"1,015"
Privately Sponsored Refugee,Québec ,2018,"3,855"
Resettled Refugee,Québec ,2018,"4,870"
Protected Person in Canada,Québec ,2018,"2,470"
Resettled Refugee & Protected Person in Canada - Total,Québec ,2018,"7,340"
All Other Immigration - Total,Québec ,2018,695
Québec - Total,Québec ,2018,"44,310"
Canadian Experience,Ontario ,2018,"15,820"
Caregiver,Ontario ,2018,"8,355"
Skilled Trade,Ontario ,2018,255
Skilled Worker,Ontario ,2018,"30,980"
Worker Program,Ontario ,2018,"55,410"
Entreprenuer ,Ontario ,2018,0
Investor,Ontario ,2018,10
Self-Employed,Ontario ,2018,215
Start-up Business,Ontario ,2018,40
Business,Ontario ,2018,265
Provincial Nominee Program,Ontario ,2018,"9,930"
Provincial Nominee Program,Ontario ,2018,"9,930"
Economic - Total,Ontario ,2018,"65,605"
Sponsored Children,Ontario ,2018,"1,335"
Sponsored Extended Family Member,Ontario ,2018,110
Sponsored Parent or Grandparent,Ontario ,2018,"7,005"
Sponsored Spouse or Partner,Ontario ,2018,"22,115"
Sponsored Family,Ontario ,2018,"30,565"
Sponsored Family - Total,Ontario ,2018,"30,565"
Blended Sponsorship Refugee,Ontario ,2018,255
Government-Assisted Refugee,Ontario ,2018,"2,590"
Privately Sponsored Refugee,Ontario ,2018,"7,205"
Resettled Refugee,Ontario ,2018,"10,050"
Protected Person in Canada,Ontario ,2018,"9,410"
Resettled Refugee & Protected Person in Canada - Total,Ontario ,2018,"19,460"
All Other Immigration - Total,Ontario ,2018,"1,690"
Ontario - Total,Ontario ,2018,"117,320"
Canadian Experience,Manitoba,2018,320
Caregiver,Manitoba,2018,45
Skilled Trade,Manitoba,2018,0
Skilled Worker,Manitoba,2018,475
Worker Program,Manitoba,2018,840
Entreprenuer ,Manitoba,2018,0
Self-Employed,Manitoba,2018,10
Business,Manitoba,2018,10
Provincial Nominee Program,Manitoba,2018,"8,790"
Provincial Nominee Program,Manitoba,2018,"8,790"
Economic - Total,Manitoba,2018,"9,645"
Sponsored Children,Manitoba,2018,110
Sponsored Extended Family Member,Manitoba,2018,--
Sponsored Parent or Grandparent,Manitoba,2018,375
Sponsored Spouse or Partner,Manitoba,2018,"1,660"
Sponsored Family,Manitoba,2018,"2,145"
Sponsored Family - Total,Manitoba,2018,"2,145"
Blended Sponsorship Refugee,Manitoba,2018,65
Government-Assisted Refugee,Manitoba,2018,405
Privately Sponsored Refugee,Manitoba,2018,765
Resettled Refugee,Manitoba,2018,"1,235"
Protected Person in Canada,Manitoba,2018,85
Resettled Refugee & Protected Person in Canada - Total,Manitoba,2018,"1,320"
All Other Immigration - Total,Manitoba,2018,35
Manitoba - Total,Manitoba,2018,"13,145"
Canadian Experience,Saskatchewan,2018,385
Caregiver,Saskatchewan,2018,235
Skilled Trade,Saskatchewan,2018,15
Skilled Worker,Saskatchewan,2018,515
Worker Program,Saskatchewan,2018,"1,150"
Self-Employed,Saskatchewan,2018,5
Business,Saskatchewan,2018,5
Provincial Nominee Program,Saskatchewan,2018,"10,145"
Provincial Nominee Program,Saskatchewan,2018,"10,145"
Economic - Total,Saskatchewan,2018,"11,305"
Sponsored Children,Saskatchewan,2018,65
Sponsored Extended Family Member,Saskatchewan,2018,5
Sponsored Parent or Grandparent,Saskatchewan,2018,345
Sponsored Spouse or Partner,Saskatchewan,2018,"1,170"
Sponsored Family,Saskatchewan,2018,"1,585"
Sponsored Family - Total,Saskatchewan,2018,"1,585"
Blended Sponsorship Refugee,Saskatchewan,2018,30
Government-Assisted Refugee,Saskatchewan,2018,395
Privately Sponsored Refugee,Saskatchewan,2018,430
Resettled Refugee,Saskatchewan,2018,855
Protected Person in Canada,Saskatchewan,2018,50
Resettled Refugee & Protected Person in Canada - Total,Saskatchewan,2018,905
All Other Immigration - Total,Saskatchewan,2018,25
Saskatchewan - Total,Saskatchewan,2018,"13,820"
Canadian Experience,Alberta ,2018,"2,295"
Caregiver,Alberta ,2018,"3,780"
Skilled Trade,Alberta ,2018,240
Skilled Worker,Alberta ,2018,"3,985"
Worker Program,Alberta ,2018,"10,305"
Entreprenuer ,Alberta ,2018,0
Investor,Alberta ,2018,0
Self-Employed,Alberta ,2018,40
Start-up Business,Alberta ,2018,0
Business,Alberta ,2018,40
Provincial Nominee Program,Alberta ,2018,"9,340"
